"Number";"Time_ms";"Q1";"Q2";"Q3";"Q4";"Time";"crc"
730;111755;111.74400329589844;0.02746158465743065;0.4284469485282898;-0.9002898335456848;0.07181411981582642;55444;
731;111955;111.94400024414062;0.025083456188440323;0.43229812383651733;-0.898947536945343;0.06620065122842789;52353;
733;112216;112.20500183105469;0.02741636335849762;0.419216513633728;-0.904227614402771;0.07666991651058197;57301;
735;112478;112.46600341796875;0.026047296822071075;0.3606173098087311;-0.9290669560432434;0.07817484438419342;31441;
736;112593;112.58200073242188;0.014625901356339455;0.35044166445732117;-0.9349144697189331;0.05396077036857605;53622;
737;112793;112.78199768066406;0.01910991407930851;0.3469259440898895;-0.9356934428215027;0.06127838417887688;54802;
738;112922;112.91100311279297;0.019284026697278023;0.3175281882286072;-0.9459952116012573;0.06242574378848076;21775;
739;113122;113.11100006103516;0.005772751290351152;0.3461131751537323;-0.9375444054603577;0.034394025802612305;49692;
741;113382;113.37100219726562;-0.004892489407211542;0.3648291528224945;-0.9309597611427307;0.013770747929811478;38281;
743;113642;113.62999725341797;-0.0027310121804475784;0.30511361360549927;-0.9520418047904968;0.02268647402524948;33267;
744;113758;113.74600219726562;0.002671796130016446;0.3211888074874878;-0.946379542350769;0.034588318318128586;32832;
745;113958;113.9469985961914;0.010241317562758923;0.32077595591545105;-0.945937991142273;0.046895090490579605;2370;
746;114074;114.06300354003906;0.010806986130774021;0.2946750521659851;-0.9542829394340515;0.04892672598361969;13068;
747;114274;114.26300048828125;0.007004960440099239;0.3310791850090027;-0.9425921440124512;0.04310031607747078;7966;
749;114536;114.52400207519531;0.001006592996418476;0.3618168234825134;-0.9320101141929626;0.02109144814312458;17776;
751;114809;114.7979965209961;0.0026487496215850115;0.29766958951950073;-0.9542131423950195;0.029379913583397865;48993;
753;115097;115.08599853515625;0.0050973305478692055;0.22811385989189148;-0.9729748964309692;0.035468075424432755;19715;
755;115455;115.44300079345703;0.02429545857012272;0.2902512848377228;-0.9538094997406006;0.07356259971857071;34498;
757;115717;115.70600128173828;0.026712488383054733;0.3342569172382355;-0.9389480948448181;0.07704021781682968;7797;
758;115833;115.8219985961914;0.032640427350997925;0.34402862191200256;-0.9344087839126587;0.08636563271284103;57550;
